Time;Video4_EmbryoA;Video6_EmbryoB;Video9_EmbryoC;Video10_EmbryoD;Video11_EmbryoE;Video17_EmbryoF;Video18_EmbryoG;Video19_EmbryoH;Video20_EmbryoI;Video221_EmbryoJ1;Video231_EmbryoK1;Video15_EmbryoL;Video16_EmbryoM;Video222_EmbryoJ2;Video232_EmbryoK2
4.35;0.69735061;0.554853958;0.507486824;0.572890562;0.489466313;0.667234551;0.667234551;0.512570865;0.542559138;0.52868073;0.50684163;0.569973978;0.402083775;0.554279441;0.406352257
4.4;0.678157474;0.554766737;0.501251175;0.577419747;0.490858428;0.660818834;0.673650268;0.521469465;0.549923874;0.534172584;0.50684163;0.571272032;0.398138306;0.552714006;0.406403583
4.45;0.678157474;0.555238756;0.516936525;0.566815296;0.645569224;0.667234551;0.667234551;0.51949984;0.548826862;0.518357842;0.50684163;0.562252352;0.405695751;0.557416726;0.404395464
4.5;0.684555186;0.555238756;0.516250091;0.568438361;0.648879507;0.660818834;0.686481702;0.513584549;0.542815749;0.524574672;0.506905787;0.567383001;0.527635869;0.554266609;0.405223091
4.55;0.671759762;0.560184701;0.51855959;0.57713106;0.652792825;0.673650268;0.680065985;0.519891198;0.552464324;0.527878766;0.513321504;0.572585478;0.529621429;0.55270759;0.564397026
4.6;0.69735061;0.557711729;0.51136165;0.581865534;0.657469561;0.660818834;0.673650268;0.518916009;0.547447578;0.5271987;0.50684163;0.564945943;0.535454977;0.556627593;0.566000955
4.65;0.690952898;0.562262614;0.5120545;0.579831891;0.655294783;0.667234551;0.673650268;0.517337743;0.681103438;0.527878766;0.615908817;0.570076591;0.525516911;0.555055742;0.566456471
4.7;0.690952898;0.557711729;0.52564847;0.574436644;0.655153647;0.673650268;0.680065985;0.52469657;0.691162591;0.526371072;0.615908817;0.567383001;0.528492687;0.559758463;0.567181447
4.75;0.684555186;0.565535967;0.523146512;0.578786201;0.662107806;0.673650268;0.673650268;0.518800526;0.683682379;0.543597272;0.622324533;0.571328469;0.529062189;0.564454767;0.563344848
4.8;0.690952898;0.565130646;0.528637989;0.578478268;0.660542478;0.680065985;0.673650268;0.520776567;0.683881253;0.529745739;0.62874025;0.583021217;0.532186754;0.555068574;0.562440232
4.85;0.690952898;0.562190785;0.519271686;0.578478268;0.665199969;0.680065985;0.686481702;0.51999385;0.676381795;0.541371018;0.622324533;0.584770768;0.53358229;0.558193028;0.567181447
4.9;0.69735061;0.562344704;0.529735001;0.567110399;0.668965736;0.673650268;0.801964605;0.648500658;0.685985463;0.538560934;0.622324533;0.57995822;0.531283759;0.563684881;0.565352968
4.95;0.684555186;0.560559239;0.61932433;0.580800598;0.6629033;0.680065985;0.789133171;0.644702554;0.678222979;0.536616972;0.615908817;0.57347308;0.533931174;0.559752047;0.566405145
5;0.690952898;0.560184701;0.632873393;0.574276262;0.66802269;0.667234551;0.801964605;0.648295355;0.684279;0.534307314;0.6094931;0.570209988;0.532581814;0.560027923;0.567361087
5.05;0.690952898;0.563924944;0.632719426;0.579369991;0.667843063;0.660818834;0.814796039;0.646454044;0.677106721;0.532331273;0.6094931;0.581748816;0.532253452;0.56054118;0.569080499
5.1;0.69735061;0.562657674;0.635433088;0.579369991;0.666072446;0.673650268;0.808380322;0.647371492;0.674264754;0.541371018;0.62874025;0.575120018;0.534228752;0.563691297;0.576015889
5.15;0.69735061;0.700918383;0.644132202;0.575969895;0.667381163;0.680065985;0.789133171;0.650996372;0.679217347;0.530220502;0.62874025;0.576808002;0.529929268;0.559771294;0.576009474
5.2;0.69735061;0.687465824;0.65349209;0.580338698;0.665738852;0.673650268;0.795548888;0.648295355;0.681802703;0.535789345;0.622324533;0.571908233;0.536332317;0.563684881;0.576182698
5.25;0.69735061;0.696126358;0.650528233;0.721712135;0.6629033;0.680065985;0.801964605;0.653851366;0.684279;0.665944992;0.622388691;0.570256164;0.537789422;0.562106615;0.573642074
5.3;0.710146034;0.692858135;0.648449683;0.728691955;0.671942424;0.680065985;0.801964605;0.646678594;0.681687228;0.660979227;0.6094931;0.573452558;0.531335066;0.569157488;0.578024009
5.35;0.69735061;0.703273351;0.649719908;0.721295142;0.668407607;0.686481702;0.808380322;0.649944194;0.681687228;0.673650268;0.615908817;0.573339683;0.538010039;0.745365151;0.576112125
5.4;0.710146034;0.701272398;0.654101541;0.726273396;0.66802269;0.680065985;0.801964605;0.650104587;0.682931792;0.675196456;0.622324533;0.575412465;0.534285189;0.757131576;0.573295625
5.45;0.703748322;0.71553047;0.654101541;0.725785835;0.673174157;0.680065985;0.795548888;0.648128546;0.679583018;0.674599794;0.622324533;0.581635942;0.529123757;0.740681678;0.573879456
5.5;0.69735061;0.705802761;0.649873874;0.729532357;0.673340954;0.686481702;0.808380322;0.647814176;0.679724154;0.675626309;0.62874025;0.577454463;0.52915454;0.752473765;0.560040754
5.55;0.703748322;0.703391356;0.656071031;0.728050428;0.666585668;0.686481702;0.808380322;0.648468579;0.675085909;0.67053223;0.622324533;0.573283246;0.538066477;0.750850589;0.563928679
5.6;0.703748322;0.70516656;0.657302764;0.733644549;0.673308878;0.680065985;0.814796039;0.650598597;0.691887517;0.678898324;0.615908817;0.579660642;0.53666581;0.751691048;0.568515916
5.65;0.703748322;0.710753836;0.659496789;0.729865951;0.673815685;0.680065985;0.801964605;0.653248289;0.684663916;0.675478747;0.622324533;0.583785683;0.538528235;0.756329611;0.57718355
5.7;0.831702563;0.713088281;0.653934744;0.728467421;0.670312944;0.673650268;0.814796039;0.65344076;0.694261169;0.68270926;0.622324533;0.771957339;0.529734304;0.756348858;0.568413265
5.75;0.838100275;0.70817312;0.653293217;0.730725598;0.676901432;0.827627472;0.801964605;0.654217062;0.691534677;0.680072401;0.635155967;0.767385932;0.529657344;0.752441687;0.578973535
5.8;0.831702563;0.715704912;0.661036455;0.733323785;0.680230961;0.808380322;0.808380322;0.648468579;0.695371012;0.68140687;0.62874025;0.771428883;0.531724995;0.751633306;0.582207056
5.85;0.844497987;0.713088281;0.659721323;0.733189064;0.674322491;0.795548888;0.801964605;0.650451036;0.694703823;0.689606156;0.73139172;0.765256713;0.53279217;0.750850589;0.580930328
5.9;0.844497987;0.708106422;0.658624311;0.739623586;0.851191651;0.808380322;0.917447508;0.646755583;0.691098438;0.677313642;0.73139172;0.765107924;0.537994647;0.755546894;0.583073178
5.95;0.838100275;0.717998312;0.662928961;0.732695088;0.838110903;0.808380322;0.923863225;0.652427077;0.695018172;0.674824344;0.724976003;0.773460619;0.534156923;0.751658969;0.58913603
6;0.838100275;0.718075271;0.662537629;0.740194545;0.844519764;0.814796039;0.923863225;0.654659746;0.688153826;0.685358951;0.724976003;0.778627182;0.534392932;0.752416024;0.583759659
